study_uid,status,reason,findings_bleu,findings_rouge_l,findings_meteor,impression_bleu,impression_rouge_l,impression_meteor
863,completed,,5.4951559138660615,0.18867924528301888,0.18315018315018314,28.087083270446133,0.6666666666666665,0.439469320066335
2014,completed,,4.322741991752404,0.16438356164383558,0.26728994366534814,0.6605538976429627,0.2222222222222222,0.06224066390041494
3917,completed,,1.1524610209657213,0.0851063829787234,0.09695290858725761,29.765372490051615,0.5882352941176471,0.5120772946859904
3969,generation_failed,"POST /generate-report returned 422: {""detail"":{""message"":""LLM generation validation failed after exhausting the content retry budget. Last validation errors: [\""response is not valid JSON: Expecting ',' delimiter: line 8 column 118 (char 520)\""]"",""last_raw_response"":""{\n  \""examination\"": \""Chest X-ray\"",\n  \""clinical_history\"": \""Unknown\"",\n  \""technique\"": \""Standard anterior-posterior view\"",\n  \""findings\"": \""Heart size normal, prominent epicardial fat, lungs clear, no pleural effusion or pneumothorax. Small T-spine osteoph",,,,,,
3110,completed,,12.326237503743924,0.3103448275862069,0.3141691065566498,2.9021429580323628,0.30769230769230765,0.19658119658119655
2269,completed,,13.521121046368334,0.24390243902439027,0.17330008143322476,7.474875887495341,0.35294117647058826,0.75
3621,completed,,1.6276888006478718,0.14634146341463414,0.21390374331550804,4.753622060013117,0.08,0.11111111111111112
2212,completed,,13.501604199212236,0.3404255319148936,0.3179694799127997,23.643540225079395,0.5,0.5111111111111111
370,completed,,6.047109423646275,0.3928571428571428,0.4573512158703072,10.40059768900531,0.4000000000000001,0.1694915254237288
2475,completed,,2.46233736722218,0.25,0.28547133138969877,5.171845311465849,0.4,0.15789473684210523
2716,completed,,4.06031542085382,0.2608695652173913,0.20004702378619849,13.380161378318954,0.2608695652173913,0.5451895043731778
8,completed,,7.825753859421843,0.29411764705882354,0.3438180827886711,17.965205598154213,0.4444444444444445,0.5010893246187365
1822,completed,,5.045215034022542,0.375,0.22871794871794876,13.134549472120788,0.5454545454545454,0.5955188679245284
3856,completed,,12.409974455616355,0.37209302325581395,0.4474511323516749,10.682175159905853,0.0,0.12195121951219512
630,completed,,3.357041136813362,0.13559322033898305,0.11331444759206798,0.0,0.0,0.0
3882,completed,,1.1492874856075381,0.1702127659574468,0.24011614920705826,2.140402789607459,0.25806451612903225,0.1938131313131313
259,completed,,1.8336625950395642,0.1702127659574468,0.14423076923076922,44.63236137853328,0.7272727272727273,0.9222222222222224
2307,completed,,1.6422862001302838,0.18867924528301885,0.16574585635359115,2.4426633221059637,0.3333333333333333,0.26315789473684215
3155,completed,,5.255923420816887,0.3181818181818182,0.37805521364515554,0.0,0.20000000000000004,0.08333333333333333
2474,completed,,1.369356606493224,0.11764705882352941,0.06925207756232686,3.7477767366779213,0.0,0.045454545454545456
2922,completed,,3.53963262860919,0.1754385964912281,0.2120315581854043,0.0,0.0,0.0
1026,completed,,2.888679060775857,0.25,0.2170820138602047,8.054496384843702,0.5714285714285715,0.4166666666666667
1884,completed,,20.465411046658087,0.41666666666666663,0.4349987997668118,0.3444380863090734,0.0,0.015384615384615384
951,completed,,2.3537559464014497,0.2173913043478261,0.42656947795287714,10.682175159905853,0.0,0.12195121951219512
1199,completed,,5.219352417136793,0.3404255319148936,0.26557488095949633,7.715486568024961,0.36363636363636365,0.1948051948051948
3982,completed,,2.2399970763209875,0.17647058823529413,0.2965253370111669,1.1599713834969503,0.0,0.06493506493506494
2179,completed,,1.7287549675176845,0.11764705882352941,0.06912442396313363,0.0,0.0,0.0
2372,completed,,10.796980702863934,0.4126984126984127,0.37798112835205633,3.6353588668522963,0.0,0.07936507936507937
