study_uid,findings_bertscore_p,findings_bertscore_r,findings_bertscore_f1,impression_bertscore_p,impression_bertscore_r,impression_bertscore_f1
2364,0.8590118885040283,0.8537599444389343,0.8563777804374695,0.7584110498428345,0.7645118236541748,0.7614492177963257
2371,0.8197372555732727,0.8000841736793518,0.8097915053367615,0.8174337148666382,0.7909326553344727,0.8039648532867432
2372,0.8531808853149414,0.8498942852020264,0.8515344262123108,0.8125486969947815,0.7799350619316101,0.7959079742431641
2373,0.8635650277137756,0.8235869407653809,0.8431023359298706,0.8077625632286072,0.8258154392242432,0.8166892528533936
238,0.8249292969703674,0.8051667213439941,0.8149282336235046,0.9768182635307312,0.9768182635307312,0.9768182635307312
2380,0.8072928190231323,0.7978923916816711,0.8025650382041931,0.8026884198188782,0.7984617352485657,0.800569474697113
2381,0.8611212968826294,0.8425047397613525,0.8517113327980042,0.8009048700332642,0.9398749470710754,0.8648427128791809
2383,0.7781591415405273,0.7766897678375244,0.7774237394332886,0.7636873722076416,0.8198747038841248,0.7907841801643372
2391,0.8517356514930725,0.863168478012085,0.8574139475822449,0.952823281288147,0.9262027740478516,0.9393244385719299
2392,0.8082351088523865,0.8853082060813904,0.8450178503990173,0.7368919253349304,0.9000979661941528,0.8103592991828918
24,0.8541602492332458,0.8171268105506897,0.835233211517334,0.8160755038261414,0.9661300182342529,0.8847857117652893
2401,0.8816985487937927,0.855833888053894,0.8685737252235413,0.895693302154541,0.8905336856842041,0.8931060433387756
2410,0.8303587436676025,0.7949836254119873,0.8122862577438354,0.8191506862640381,0.7633786201477051,0.7902818918228149
2417,0.8324158787727356,0.8175132870674133,0.824897289276123,0.8480942249298096,0.830276370048523,0.8390907049179077
2420,0.8588674068450928,0.8611857891082764,0.8600250482559204,0.8005083799362183,0.9273066520690918,0.8592548370361328
2427,0.8477104902267456,0.8712314367294312,0.8593100309371948,0.7407974600791931,0.8118308782577515,0.774689257144928
2433,0.8067095875740051,0.7944536805152893,0.800534725189209,0.7554371953010559,0.8402389287948608,0.7955846786499023
2434,0.8557958006858826,0.8583985567092896,0.8570952415466309,0.7595258355140686,0.9177733659744263,0.8311845064163208
2440,0.8207606077194214,0.8301872611045837,0.8254470229148865,0.9133189916610718,0.8894898295402527,0.901246964931488
2451,0.8268057107925415,0.7680139541625977,0.7963261604309082,0.8646110892295837,0.758042573928833,0.807827353477478
2456,0.8460487723350525,0.7929128408432007,0.8186194896697998,0.9027597308158875,0.7089843153953552,0.7942234873771667
2464,0.8511292934417725,0.8516516089439392,0.8513903021812439,0.9266192317008972,0.8818213939666748,0.9036654233932495
2469,0.8625073432922363,0.8198605179786682,0.8406434655189514,0.8751921653747559,0.9284254312515259,0.9010232090950012
2474,0.8018233180046082,0.7816460728645325,0.7916061878204346,0.8238292932510376,0.8127241134643555,0.8182390332221985
2475,0.8293942213058472,0.8466827869415283,0.8379493355751038,0.9004306197166443,0.8186119794845581,0.8575742244720459
2478,0.8321879506111145,0.7997129559516907,0.8156273365020752,0.8612805604934692,0.7716070413589478,0.8139815330505371
2486,0.8279732465744019,0.8512063026428223,0.8394290804862976,0.7606874108314514,0.8270723223686218,0.7924920320510864
2487,0.8661237955093384,0.7981855273246765,0.8307679891586304,0.8142501711845398,0.7736421227455139,0.7934269309043884
2506,0.7914294004440308,0.8394771218299866,0.8147454857826233,0.8670973777770996,0.8316119909286499,0.8489840626716614
2507,0.820421040058136,0.8214429616928101,0.8209316730499268,0.7699772119522095,0.8248400688171387,0.7964649796485901
2513,0.8398851156234741,0.7910041213035583,0.8147121071815491,0.8200022578239441,0.7847991585731506,0.8020146489143372
2516,0.884636640548706,0.8605203032493591,0.872411847114563,0.8139498233795166,0.8722670078277588,0.8420999646186829
2517,0.8764852285385132,0.8868082165718079,0.881616473197937,0.8233025670051575,0.9079466462135315,0.863555371761322
2531,0.9206854104995728,0.8801275491714478,0.8999497890472412,0.8631577491760254,0.9013717174530029,0.8818509578704834
2541,0.9168452620506287,0.8676286935806274,0.8915582895278931,0.9217470288276672,0.9266603589057922,0.9241971373558044
2545,0.8820295929908752,0.8710849285125732,0.8765231370925903,0.7767641544342041,0.7924630045890808,0.7845349907875061
2546,0.9364008903503418,0.9738888144493103,0.9547770023345947,0.7495697736740112,0.8001744747161865,0.7740458846092224
2562,0.8520240187644958,0.8370714783668518,0.8444815278053284,0.8846031427383423,0.9084510803222656,0.8963685035705566
2568,0.8891963362693787,0.8242993354797363,0.8555188179016113,0.9735817909240723,0.9735817909240723,0.9735817909240723
2569,0.8376491069793701,0.8315252661705017,0.8345759510993958,0.7701840400695801,0.8770639300346375,0.8201565742492676
2575,0.8471515774726868,0.910406231880188,0.8776406049728394,0.7625899314880371,0.8176411390304565,0.7891566157341003
2578,0.9167929887771606,0.8242543935775757,0.8680644631385803,0.8313844203948975,0.7645175457000732,0.7965501546859741
2579,0.8702141046524048,0.8689402341842651,0.8695767521858215,0.8319754004478455,0.8720853328704834,0.8515583276748657
2580,0.834490954875946,0.8515324592590332,0.8429255485534668,0.7983907461166382,0.8745094537734985,0.8347183465957642
2585,0.8429187536239624,0.7943035364151001,0.817889392375946,0.8275888562202454,0.7835167646408081,0.8049499988555908
259,0.8439960479736328,0.8111169338226318,0.827229917049408,0.9184713363647461,0.977131724357605,0.9468939304351807
2597,0.9089535474777222,0.8522984981536865,0.8797147870063782,0.8567622900009155,0.8024076819419861,0.8286947011947632
2611,0.8299726843833923,0.8932434320449829,0.8604465126991272,0.8873452544212341,0.8869805335998535,0.8871628642082214
2614,0.8840692043304443,0.831765353679657,0.8571200966835022,0.8160700798034668,0.8053282499313354,0.8106635808944702
2616,0.8170685768127441,0.8165938854217529,0.8168311715126038,0.7936616539955139,0.7837808132171631,0.7886903285980225
2623,0.8473938703536987,0.8401808738708496,0.8437719941139221,0.8680134415626526,0.9243016242980957,0.8952736854553223
2624,0.9072674512863159,0.827538013458252,0.865570604801178,0.7915443778038025,0.772656261920929,0.7819862365722656
2631,0.822781503200531,0.8111079931259155,0.8169030547142029,0.7871164679527283,0.7556056380271912,0.7710392475128174
2633,0.8211544752120972,0.7739256620407104,0.7968409061431885,0.751757025718689,0.7357587218284607,0.7436718940734863
2636,0.8757199048995972,0.8133360147476196,0.8433759212493896,0.8909127712249756,0.886949896812439,0.8889269232749939
2639,0.836355984210968,0.8158752918243408,0.82598876953125,0.8574820756912231,0.9403891563415527,0.8970240354537964
264,0.8048097491264343,0.8023858666419983,0.803596019744873,0.8307913541793823,0.8524108529090881,0.8414621949195862
2655,0.8446992039680481,0.8525978326797485,0.8486301302909851,0.7820969223976135,0.8315576314926147,0.8060692548751831
2667,0.8605880737304688,0.9091817140579224,0.8842177987098694,0.8672087788581848,0.8731718063354492,0.870180070400238
2677,0.832711935043335,0.8261884450912476,0.8294373154640198,0.774095356464386,0.8522342443466187,0.8112876415252686
2681,0.827904462814331,0.7930281162261963,0.8100911378860474,0.8495514988899231,0.9377220273017883,0.8914619088172913
2695,0.8705917000770569,0.8842020034790039,0.8773440718650818,0.8810008764266968,0.9381012916564941,0.9086549282073975
2704,0.8505814671516418,0.7734028100967407,0.8101581931114197,0.8483452796936035,0.7448121309280396,0.7932146191596985
2708,0.903873860836029,0.8504849672317505,0.8763670325279236,0.8080364465713501,0.7988442182540894,0.8034140467643738
2709,0.8562015891075134,0.8155760169029236,0.8353952169418335,0.8475661873817444,0.786391019821167,0.8158334493637085
2713,0.8300372362136841,0.7834322452545166,0.8060616254806519,0.8129808306694031,0.7836042642593384,0.7980222702026367
2716,0.854640543460846,0.8251208066940308,0.8396213054656982,0.8826071619987488,0.9165858626365662,0.8992756605148315
2721,0.799008846282959,0.7848740816116333,0.7918784022331238,0.7677992582321167,0.8831958770751953,0.8214647769927979
2722,0.8594175577163696,0.8250508904457092,0.841883659362793,0.833415687084198,0.7924820184707642,0.812433660030365
2724,0.843596339225769,0.8742848038673401,0.8586664199829102,0.7724671363830566,0.8991587162017822,0.831011950969696
2726,0.7866377830505371,0.8031386733055115,0.7948026061058044,0.7510765790939331,0.9497812986373901,0.8388219475746155
2727,0.8839305639266968,0.8334026336669922,0.8579232692718506,0.9406876564025879,0.8780298829078674,0.9082794785499573
2728,0.8337407112121582,0.8380657434463501,0.8358976244926453,0.7889161705970764,0.8301206231117249,0.8089941143989563
2746,0.8024807572364807,0.7997691631317139,0.8011227250099182,0.7506933808326721,0.9061872363090515,0.8211439847946167
2748,0.8873201608657837,0.8954252004623413,0.8913542628288269,0.7675073742866516,0.8574334383010864,0.8099820613861084
2749,0.785150408744812,0.8022156953811646,0.793591320514679,0.9256844520568848,0.9530727863311768,0.9391789436340332
2767,0.9048208594322205,0.8530135750770569,0.8781538009643555,0.8328667283058167,0.8474975824356079,0.8401184678077698
2774,0.8208708763122559,0.8641642332077026,0.8419614434242249,0.7723965644836426,0.8237957954406738,0.7972686290740967
2777,0.8343080282211304,0.8194276094436646,0.8268008828163147,0.8139204978942871,0.9166777729988098,0.862248420715332
2781,0.8043872117996216,0.8743048906326294,0.8378900289535522,0.8633241057395935,0.8220688104629517,0.8421915769577026
2789,0.8655654191970825,0.8620408773422241,0.863799512386322,0.7733532190322876,0.8800603151321411,0.8232634663581848
2790,0.8117090463638306,0.8255004286766052,0.818546712398529,0.8765333890914917,0.8959059119224548,0.8861138224601746
2796,0.7928082346916199,0.8588001728057861,0.8244857788085938,0.7434196472167969,0.9167252779006958,0.821026623249054
2803,0.8175301551818848,0.8253076672554016,0.82140052318573,0.9038957357406616,0.8821861743927002,0.892909049987793
2815,0.821199893951416,0.8639587759971619,0.8420368432998657,0.8145908117294312,0.9287192821502686,0.8679192066192627
2820,0.8235094547271729,0.8681257963180542,0.8452292680740356,0.8619207143783569,0.9296431541442871,0.8945019841194153
2828,0.9036319255828857,0.8503791689872742,0.876197099685669,0.9218584299087524,0.8417079448699951,0.8799619078636169
2836,0.8170010447502136,0.8178788423538208,0.8174397349357605,0.8714562654495239,0.8864611387252808,0.8788946866989136
2837,0.8580710887908936,0.8185508251190186,0.8378452062606812,0.8152419328689575,0.7283298373222351,0.7693390846252441
2852,0.853630781173706,0.8231890797615051,0.8381336331367493,0.8670194745063782,0.8555086851119995,0.8612255454063416
2859,0.8185451030731201,0.8266294598579407,0.8225674033164978,0.788071870803833,0.7980208396911621,0.79301518201828
2865,0.8998013734817505,0.8391656279563904,0.8684263825416565,0.8015549778938293,0.8643789291381836,0.8317824006080627
2867,0.8309390544891357,0.8010368347167969,0.8157140612602234,0.8244061470031738,0.8183633685112,0.8213735818862915
2868,0.8701431155204773,0.874454140663147,0.8722933530807495,0.8220936059951782,0.9259172677993774,0.8709220886230469
