encoder,primary_label,mrr,recall@1,precision@1,ndcg@1,recall@3,precision@3,ndcg@3,recall@5,precision@5,ndcg@5,recall@10,precision@10,ndcg@10
biomedclip,Pneumothorax,0.6842105263157894,0.6666666666666666,0.6666666666666666,0.27777777777777773,0.6666666666666666,0.4444444444444444,0.21260017694128383,0.6666666666666666,0.3333333333333333,0.2030119547429771,0.6666666666666666,0.26666666666666666,0.2149063156597276
biomedclip,Scarring,0.43738236122851504,0.23076923076923078,0.23076923076923078,0.08333333333333333,0.5384615384615384,0.25641025641025644,0.10087185345849521,0.6923076923076923,0.27692307692307694,0.11830897054215482,0.8461538461538461,0.22307692307692306,0.11660069072514677
biomedclip,Support Devices,0.3686252539744089,0.25925925925925924,0.25925925925925924,0.2222222222222222,0.37037037037037035,0.18518518518518517,0.15366687738777304,0.4444444444444444,0.17037037037037037,0.14865346202106403,0.6296296296296297,0.17407407407407408,0.14354606039330445
clip_generic,Atelectasis,0.37464597415255313,0.20833333333333334,0.20833333333333334,0.1111111111111111,0.4583333333333333,0.18055555555555555,0.10373998230587161,0.5,0.16666666666666666,0.09420900385656321,0.75,0.19583333333333333,0.11083820471972596
clip_generic,Calcinosis/Atherosclerosis,0.3047549496279079,0.13793103448275862,0.13793103448275862,0.10344827586206896,0.3103448275862069,0.13793103448275862,0.10450763013714633,0.4827586206896552,0.14482758620689656,0.10397237380898278,0.6896551724137931,0.13448275862068965,0.10304018630211863
clip_generic,Cardiomegaly,0.29455570024675715,0.047619047619047616,0.047619047619047616,0.023809523809523808,0.42857142857142855,0.14285714285714285,0.07323962278271054,0.8095238095238095,0.19047619047619047,0.10388999234812772,0.8095238095238095,0.1619047619047619,0.09621236244603613
clip_generic,Degenerative/Bone,0.24135418716975593,0.09375,0.09375,0.057291666666666664,0.21875,0.11458333333333333,0.05452749336470185,0.34375,0.11875,0.06009079973268749,0.65625,0.159375,0.08678132139970873
clip_generic,Edema/Congestion,0.4874551971326165,0.25,0.25,0.125,0.6666666666666666,0.38888888888888884,0.15555471716573607,0.75,0.2833333333333333,0.13227331517768234,0.9166666666666666,0.2916666666666667,0.14417503019691316
clip_generic,Emphysema/COPD,0.342482851595993,0.18518518518518517,0.18518518518518517,0.12962962962962962,0.4444444444444444,0.18518518518518517,0.10160233496219274,0.5555555555555556,0.14814814814814814,0.08878215430408687,0.7037037037037037,0.13703703703703704,0.08273026156428571
clip_generic,Fibrosis/Interstitial,0.30166666666666664,0.0,0.0,0.0,0.5,0.16666666666666666,0.0740204777414663,0.75,0.15000000000000002,0.07911998673475862,0.75,0.175,0.09741681334429751
clip_generic,Granuloma,0.3986240155575131,0.17857142857142858,0.17857142857142858,0.16071428571428573,0.5357142857142857,0.2261904761904762,0.17763669028874443,0.7142857142857143,0.2,0.1659143022033683,0.8571428571428571,0.17500000000000002,0.15423594544142058
clip_generic,Hernia/Diaphragm,0.2450952343298853,0.09090909090909091,0.09090909090909091,0.022727272727272728,0.18181818181818182,0.09090909090909091,0.025731602080990346,0.5454545454545454,0.18181818181818182,0.054578623794737345,0.6363636363636364,0.15454545454545454,0.058744336555373214
clip_generic,Lung Opacity,0.25322684132248,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.2916666666666667,0.12499999999999999,0.11522335987452588,0.4166666666666667,0.1416666666666667,0.12948722186326,0.5833333333333334,0.12916666666666668,0.1248318163863746
clip_generic,Nodule/Mass,0.2498117709346523,0.13333333333333333,0.13333333333333333,0.03888888888888888,0.2,0.1111111111111111,0.03959530010124553,0.4,0.13333333333333333,0.043425168778886185,0.5333333333333333,0.14,0.05517900549735602
