study_uid,status,reason,retrieved_uids,top1_similarity,findings_bleu,findings_rouge_l,findings_meteor,impression_bleu,impression_rouge_l,impression_meteor
1732,completed,,2549|620|3133|3902|1440,0.9773091077804565,3.2820359838095277,0.16666666666666666,0.21959738756613756,42.7287006396234,1.0,0.996
3311,completed,,887|3422|1428|422|705,0.9716535806655884,12.787395553510192,0.26415094339622636,0.3955622676579926,12.70331870386537,0.28571428571428575,0.24390243902439024
2865,completed,,587|1624|3879|1031|1829,0.925297737121582,5.095369149498587,0.24427480916030533,0.4580940877584587,7.809849842300641,0.6,0.49145299145299143
3121,completed,,1168|3114|322|2377|3209,0.9831143021583557,6.069305815385413,0.2535211267605634,0.34703810438680754,14.794015674776452,0.28571428571428575,0.20408163265306123
1551,completed,,3723|1175|2321|3577|810,0.9879616498947144,9.241713818460443,0.3225806451612903,0.3278303994281119,11.208466750961147,0.4,0.49600000000000005
3229,completed,,195|1824|3646|1703|3721,0.9599834680557251,10.898998188993062,0.25000000000000006,0.5084856704491305,3.737437943747671,0.12500000000000003,0.19480519480519481
2569,completed,,3356|1643|100|344|2802,0.9635745286941528,6.8377452751635595,0.1951219512195122,0.31705542928798147,100.00000000000004,1.0,0.996
2616,completed,,1383|3935|3782|892|677,0.9397284984588623,1.970720088396037,0.17621145374449337,0.34055050884502425,0.481135330195157,0.17391304347826086,0.13797692990239574
2451,completed,,3242|2078|3133|2120|1681,0.97728431224823,12.544139249089376,0.23529411764705882,0.362883663766616,4.773103432823619,0.37037037037037035,0.261190896111531
1523,completed,,2294|555|2959|1667|3257,0.9687261581420898,2.0536321507362905,0.18181818181818182,0.22304832713754646,5.381887058206485,0.19999999999999998,0.4955555555555557
3756,completed,,107|1787|2282|821|599,0.9497620463371277,6.138084077621066,0.3272727272727273,0.2890231722941277,100.00000000000004,1.0,0.996
3961,completed,,2262|955|564|3147|2112,0.9280940890312195,14.644284908864794,0.3333333333333333,0.38265489927350615,2.27457437979845,0.19607843137254902,0.46875
2728,completed,,1430|2130|1129|2882|530,0.9798968434333801,2.0185836690812065,0.09900990099009901,0.27686403508771934,3.086508023475924,0.09836065573770492,0.28956422018348627
2209,completed,,2855|142|1643|1023|438,0.9662116765975952,7.46916956006812,0.20408163265306123,0.29279651675485013,12.70331870386537,0.25,0.20000000000000004
1556,completed,,847|1240|1691|2158|297,0.9281899929046631,5.722133516960825,0.16393442622950818,0.28357147034170876,2.9171735901692597,0.15,0.16216216216216217
1330,completed,,3723|1622|3513|3655|3577,0.9879911541938782,4.755214206598709,0.18181818181818182,0.37076411960132893,19.357693493908812,0.4444444444444445,0.43314500941619577
3017,completed,,73|824|189|814|445,0.9697117209434509,11.141506546568419,0.27118644067796605,0.5283749693032395,1.493369524819332,0.25,0.2508169934640523
2348,completed,,3249|3782|1678|111|1593,0.8834632039070129,2.297286116266514,0.19512195121951217,0.1600034545068027,8.040993409646845,0.3333333333333333,0.3428155925229667
3141,completed,,3910|746|2463|1238|1651,0.9766916036605835,5.103657503236117,0.36666666666666664,0.4814762443438914,0.0,0.0,0.0
1473,completed,,1824|1659|1039|1760|543,0.9720013737678528,21.076277544217508,0.29850746268656714,0.5480658861340679,6.567274736060396,0.2,0.18867924528301888
3494,completed,,2950|2874|1667|1287|1937,0.9832358360290527,10.277736755260955,0.2571428571428571,0.3362433862433863,7.495553473355842,0.26666666666666666,0.6578947368421052
3327,completed,,860|2676|285|412|1031,0.9444108009338379,4.4095269332015565,0.18478260869565216,0.2955220462110293,0.000527969264892807,0.031746031746031744,0.015479876160990712
3639,completed,,194|3556|1493|3620|62,0.9483460187911987,2.7027319057477674,0.3013698630136986,0.30691934395320686,6.250381527944883,0.2727272727272727,0.22706834532374098
3109,completed,,3200|1964|495|1310|3051,0.957830548286438,10.934719214844591,0.2622950819672132,0.5678670360110804,20.44800736021839,0.5,0.8344827586206895
3979,completed,,3522|2224|532|118|3911,0.9655178785324097,9.662144209307952,0.20512820512820512,0.3425643499642068,5.551277111446365,0.21428571428571427,0.5208333333333334
3918,completed,,1364|2785|1142|398|1263,0.951562762260437,5.640409537297426,0.18181818181818182,0.41145880574452004,3.217409328795944,0.0,0.04807692307692308
3283,completed,,1872|2692|2910|2282|2276,0.9584362506866455,1.5969586705756391,0.1971830985915493,0.2742616033755274,5.0735520042259505,0.125,0.10101010101010102
3694,completed,,641|782|119|2632|940,0.9645400047302246,5.598695355194437,0.2162162162162162,0.2268534281393268,28.254432923044853,0.5714285714285715,0.39062499999999994
309,completed,,1970|3352|2735|203|1388,0.9824525117874146,2.7650995236638423,0.15584415584415587,0.5513100436681222,8.116697886877475,0.0,0.09803921568627452
3908,completed,,2549|6|516|3902|3356,0.970429539680481,12.771198088899734,0.37837837837837845,0.3756574004507888,42.7287006396234,0.75,0.7500000000000001
3471,completed,,96|853|2377|658|49,0.9793184995651245,1.0542925134791996,0.18918918918918917,0.1392273327241344,13.267398701010466,0.5,0.31323877068557915
358,completed,,2316|3458|920|1667|1951,0.9729381799697876,16.982633209083858,0.4888888888888889,0.3884615384615384,51.69731539571708,0.8,0.939622641509434
3907,completed,,1277|1082|3129|3966|2832,0.9669898152351379,12.324743698385637,0.3103448275862069,0.4398386006587248,0.5318341850037307,0.0,0.02702702702702703
3206,completed,,2377|2017|1146|1761|2924,0.9713349342346191,3.346229269716654,0.28571428571428575,0.46954042370542964,9.652434877402245,0.22222222222222224,0.19607843137254904
1067,completed,,2015|1748|1594|2020|1412,0.9721163511276245,6.998553164398773,0.21052631578947367,0.46086964988121665,38.80684294761701,0.7272727272727273,0.6285714285714286
2655,completed,,2089|2321|2992|1708|1367,0.9799928665161133,21.176403920429514,0.36000000000000004,0.20588235294117643,3.673526562988939,0.23529411764705882,0.38142620232172475
2902,completed,,2022|2983|525|3603|2342,0.9675894379615784,1.181675119171303,0.18918918918918917,0.23191735257638965,11.359354890271161,0.39999999999999997,0.5349576271186441
3189,completed,,1801|729|1547|1880|3179,0.9736356735229492,0.9350559899508522,0.12987012987012986,0.22267206477732795,1.0253311603116817,0.0,0.06944444444444446
