study_uid,status,reason,retrieved_uids,top1_similarity,findings_bleu,findings_rouge_l,findings_meteor,impression_bleu,impression_rouge_l,impression_meteor
1551,completed,,3723|1175|2321|3577|810,0.9879616498947144,1.109892802473735,0.1951219512195122,0.12359098228663445,6.870636427700047,0.0,0.07246376811594203
3229,completed,,195|1824|3646|1703|3721,0.9599834680557251,1.4811237737988945,0.15384615384615383,0.1508150429983314,8.170609724417774,0.1818181818181818,0.14492753623188406
2569,completed,,3356|1643|100|344|2802,0.9635745286941528,0.12714803640719557,0.16129032258064516,0.06044905008635579,8.116697886877475,0.0,0.09803921568627452
2616,completed,,1383|3935|3782|892|677,0.9397284984588623,3.2328809292735605,0.25,0.2013287329320217,0.8285669075945717,0.12903225806451615,0.07352941176470588
2451,completed,,3242|2078|3133|2120|1681,0.97728431224823,0.11291638178280619,0.11940298507462686,0.059322033898305086,0.2895550264181247,0.08,0.0625
1523,completed,,2294|555|2959|1667|3257,0.9687261581420898,2.0788628272808367,0.1935483870967742,0.10869565217391304,8.116697886877475,0.0,0.09803921568627452
3756,completed,,107|1787|2282|821|599,0.9497620463371277,1.3616307293129775,0.16666666666666666,0.110062893081761,8.116697886877475,0.0,0.09803921568627452
3961,completed,,2262|955|564|3147|2112,0.9280940890312195,1.7612368786370127,0.17500000000000002,0.09615384615384616,1.2193311110766474,0.0975609756097561,0.1388888888888889
2728,completed,,1430|2130|1129|2882|530,0.9798968434333801,3.020494916141626,0.11428571428571427,0.07692307692307691,1.5821934551541403,0.0,0.029411764705882353
2209,completed,,2855|142|1643|1023|438,0.9662116765975952,6.343058732633692,0.3225806451612903,0.1535087719298246,8.116697886877475,0.0,0.09803921568627452
1556,completed,,847|1240|1691|2158|297,0.9281899929046631,1.6321762720955921,0.11627906976744186,0.07092198581560283,4.750133160738244,0.13333333333333333,0.23850267379679146
1330,completed,,3723|1622|3513|3655|3577,0.9879911541938782,2.123142196008267,0.1176470588235294,0.07575757575757576,8.116697886877475,0.0,0.08333333333333333
3017,completed,,73|824|189|814|445,0.9697117209434509,2.837860690283222,0.15789473684210525,0.19747997628861713,2.6485681362909563,0.0,0.03378378378378378
2348,completed,,3249|3782|1678|111|1593,0.8834632039070129,1.5822535809041445,0.13953488372093023,0.10826235093696762,2.310428454615111,0.13793103448275865,0.1506072874493927
3141,completed,,3910|746|2463|1238|1651,0.9766916036605835,3.2677968802443296,0.13953488372093023,0.14925373134328357,2.1476912089159055,0.11764705882352941,0.11111111111111113
1473,completed,,1824|1659|1039|1760|543,0.9720013737678528,1.3626996554583786,0.2439024390243902,0.16270068807339452,8.116697886877475,0.0,0.09803921568627452
3494,completed,,2950|2874|1667|1287|1937,0.9832358360290527,1.1535003548602534,0.13953488372093023,0.10144927536231885,8.116697886877475,0.0,0.09803921568627452
3327,completed,,860|2676|285|412|1031,0.9444108009338379,1.4889658178065592,0.14285714285714285,0.08860759493670885,2.118517368032116,0.08602150537634409,0.10309278350515463
3639,completed,,194|3556|1493|3620|62,0.9483460187911987,1.8306333543076285,0.20338983050847456,0.14802631578947367,2.159701133933343,0.0,0.06802721088435373
3109,completed,,3200|1964|495|1310|3051,0.957830548286438,2.652094522828992,0.125,0.15121951219512197,8.116697886877475,0.0,0.09803921568627452
3979,completed,,3522|2224|532|118|3911,0.9655178785324097,1.3996615993016444,0.15384615384615383,0.0970873786407767,8.116697886877475,0.0,0.09803921568627452
